Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
295	50	275.93	0.0036241	7.8365	10.744	45.26	30.504	51.862	891.71	-0.093779	34.191	0.099007	0.00310639623377	0.00774901093198
296.65	50	274.52	0.0036427	7.9071	10.829	45.55	30.538	51.855	888.42	-0.089142	33.979	0.0986	0.00310429784121	0.00783681156018
298.3	50	273.12	0.0036614	7.9777	10.915	45.837	30.572	51.848	885.19	-0.084559	33.772	0.098203	0.00310205947959	0.00792467856392
299.95	50	271.73	0.0036802	8.0482	11	46.123	30.607	51.842	882.03	-0.08003	33.568	0.097817	0.00309962280425	0.00801229040355
301.6	50	270.34	0.003699	8.1186	11.086	46.408	30.643	51.835	878.93	-0.075558	33.369	0.097441	0.00309691384568	0.00809977464131
303.25	50	268.96	0.003718	8.1889	11.171	46.69	30.68	51.827	875.89	-0.071143	33.175	0.097074	0.00309378937845	0.00818679438471
304.9	50	267.6	0.003737	8.2592	11.257	46.972	30.718	51.82	872.91	-0.066788	32.984	0.096718	0.00309047887041	0.00827331244519
306.55	50	266.24	0.0037561	8.3293	11.342	47.251	30.757	51.812	869.99	-0.062494	32.797	0.096372	0.00308684758271	0.00835958192354
308.2	50	264.88	0.0037752	8.3994	11.428	47.529	30.797	51.804	867.13	-0.058263	32.614	0.096035	0.00308303802411	0.00844573188749
309.85	50	263.54	0.0037945	8.4695	11.513	47.806	30.838	51.796	864.33	-0.054094	32.435	0.095707	0.00307885019067	0.00853108564918
311.5	50	262.21	0.0038138	8.5394	11.599	48.081	30.88	51.788	861.59	-0.049991	32.259	0.095389	0.00307442164696	0.00861591285634
313.15	50	260.88	0.0038332	8.6093	11.684	48.355	30.923	51.78	858.9	-0.045952	32.088	0.09508	0.00306980442271	0.00870070480677
314.8	50	259.56	0.0038526	8.6792	11.77	48.627	30.967	51.772	856.27	-0.041981	31.919	0.094781	0.00306494262109	0.00878489522055
316.45	50	258.26	0.0038721	8.7489	11.855	48.897	31.012	51.764	853.69	-0.038077	31.755	0.09449	0.00305977099555	0.00886830289983
318.1	50	256.96	0.0038917	8.8186	11.94	49.166	31.057	51.756	851.17	-0.034243	31.593	0.094208	0.00305449359646	0.00895164935359
319.75	50	255.67	0.0039114	8.8883	12.026	49.434	31.104	51.748	848.7	-0.030477	31.435	0.093934	0.00304883994345	0.00903418855163
321.4	50	254.38	0.0039311	8.9578	12.111	49.701	31.151	51.74	846.29	-0.026782	31.281	0.093669	0.00304311726053	0.00911660315201
323.05	50	253.11	0.0039508	9.0273	12.196	49.965	31.199	51.732	843.93	-0.023157	31.129	0.093413	0.00303711716153	0.00919806427567
324.7	50	251.85	0.0039707	9.0968	12.282	50.229	31.248	51.724	841.62	-0.019605	30.981	0.093164	0.00303082114993	0.00927888574618
326.35	50	250.59	0.0039906	9.1662	12.367	50.491	31.298	51.716	839.36	-0.016124	30.836	0.092924	0.00302436527442	0.00935940125354
328	50	249.35	0.0040105	9.2355	12.452	50.752	31.349	51.708	837.15	-0.012716	30.694	0.092692	0.00301762738799	0.009438828878
329.65	50	248.11	0.0040305	9.3048	12.538	51.011	31.401	51.701	834.99	-0.0093809	30.555	0.092468	0.00301079271918	0.00951806457716
331.3	50	246.88	0.0040505	9.374	12.623	51.27	31.453	51.693	832.88	-0.0061193	30.419	0.092252	0.00300375273061	0.00959663299939
332.95	50	245.66	0.0040706	9.4432	12.708	51.526	31.506	51.686	830.82	-0.0029314	30.285	0.092043	0.00299655349772	0.00967456221667
334.6	50	244.45	0.0040908	9.5123	12.794	51.782	31.56	51.679	828.8	0.00018251	30.155	0.091841	0.00298912730003	0.00975186275324
336.25	50	243.25	0.004111	9.5813	12.879	52.036	31.615	51.673	826.83	0.0032223	30.027	0.091648	0.0029815770771	0.00982845355159
337.9	50	242.06	0.0041312	9.6503	12.964	52.289	31.671	51.666	824.91	0.0061879	29.902	0.091461	0.00297369528545	0.00990391484588
339.55	50	240.87	0.0041515	9.7193	13.049	52.541	31.727	51.66	823.03	0.0090792	29.78	0.091282	0.00296587017522	0.00997955897371
341.2	50	239.7	0.0041719	9.7882	13.135	52.791	31.784	51.654	821.2	0.011896	29.66	0.091109	0.00295771783529	0.01005378261816
342.85	50	238.54	0.0041923	9.8571	13.22	53.04	31.842	51.649	819.41	0.014639	29.542	0.090944	0.00294947376304	0.01012739723416
344.5	50	237.38	0.0042127	9.9259	13.305	53.288	31.9	51.644	817.66	0.017308	29.428	0.090785	0.00294121646533	0.01020092510033
346.15	50	236.23	0.0042331	9.9947	13.39	53.535	31.96	51.639	815.95	0.019902	29.315	0.090633	0.00293264201973	0.01027327489798
347.8	50	235.09	0.0042536	10.063	13.476	53.78	32.019	51.635	814.29	0.022423	29.205	0.090488	0.00292414335944	0.0103453230887
349.45	50	233.96	0.0042742	10.132	13.561	54.025	32.08	51.631	812.66	0.024871	29.098	0.09035	0.00291532825143	0.01041637955978
351.1	50	232.84	0.0042948	10.201	13.646	54.268	32.141	51.627	811.08	0.027245	28.993	0.090217	0.00290639905776	0.0104865475129
352.75	50	231.73	0.0043154	10.27	13.731	54.51	32.203	51.624	809.54	0.029546	28.89	0.090091	0.00289737353246	0.01055592834577
354.4	50	230.63	0.004336	10.338	13.816	54.751	32.266	51.622	808.03	0.031776	28.789	0.089972	0.00288828666089	0.01062475507786
356.05	50	229.53	0.0043567	10.407	13.901	54.991	32.329	51.619	806.57	0.033933	28.69	0.089858	0.00287900999919	0.01069285628287
357.7	50	228.45	0.0043774	10.475	13.987	55.229	32.393	51.618	805.14	0.036018	28.594	0.08975	0.00286971072938	0.01076009320692
359.35	50	227.37	0.0043982	10.544	14.072	55.467	32.458	51.617	803.74	0.038033	28.499	0.089649	0.00286027613704	0.01082696360223
361	50	226.3	0.0044189	10.612	14.157	55.703	32.523	51.616	802.39	0.039977	28.407	0.089553	0.0028507557224	0.01089276608499
362.65	50	225.24	0.0044397	10.681	14.242	55.939	32.589	51.616	801.07	0.041851	28.317	0.089463	0.00284113880469	0.01095788800153
364.3	50	224.19	0.0044605	10.749	14.327	56.173	32.656	51.617	799.78	0.043657	28.228	0.089378	0.00283145723817	0.01102230580636
365.95	50	223.14	0.0044814	10.818	14.412	56.406	32.723	51.618	798.53	0.045393	28.142	0.089299	0.00282172258464	0.01108633910697
367.6	50	222.11	0.0045023	10.886	14.498	56.639	32.79	51.619	797.31	0.047062	28.058	0.089226	0.00281187491128	0.0111492495386
369.25	50	221.08	0.0045232	10.955	14.583	56.87	32.859	51.621	796.12	0.048664	27.975	0.089158	0.00280190695292	0.01121154711842
370.9	50	220.07	0.0045441	11.023	14.668	57.1	32.927	51.624	794.97	0.050199	27.894	0.089095	0.00279200831504	0.01127293921468
372.55	50	219.06	0.004565	11.091	14.753	57.329	32.997	51.628	793.85	0.051668	27.815	0.089037	0.00278198867094	0.01133367782414
374.2	50	218.05	0.004586	11.16	14.838	57.557	33.067	51.632	792.76	0.053073	27.738	0.088985	0.00277194991714	0.01139422008156
375.85	50	217.06	0.004607	11.228	14.924	57.784	33.137	51.636	791.7	0.054414	27.662	0.088937	0.00276179486711	0.01145350252225
377.5	50	216.08	0.004628	11.296	15.009	58.011	33.208	51.642	790.67	0.055691	27.588	0.088895	0.00275167270505	0.01151211819934
379.15	50	215.1	0.004649	11.365	15.094	58.236	33.28	51.647	789.67	0.056907	27.516	0.088857	0.00274134297177	0.01156991300314
380.8	50	214.13	0.0046701	11.433	15.179	58.46	33.352	51.654	788.7	0.05806	27.446	0.088825	0.00273113188021	0.01162735353081
382.45	50	213.17	0.0046911	11.501	15.264	58.683	33.424	51.661	787.75	0.059153	27.377	0.088797	0.00272092942291	0.0116842671192
384.1	50	212.22	0.0047122	11.57	15.35	58.906	33.497	51.669	786.84	0.060187	27.309	0.088774	0.00271059327922	0.01173991556521
385.75	50	211.27	0.0047333	11.638	15.435	59.127	33.571	51.678	785.95	0.061161	27.244	0.088755	0.0027002853523	0.0117954292681
387.4	50	210.33	0.0047544	11.707	15.52	59.348	33.645	51.687	785.09	0.062078	27.179	0.088741	0.00268992102752	0.01185006356679
389.05	50	209.4	0.0047755	11.775	15.605	59.568	33.719	51.697	784.26	0.062937	27.116	0.088731	0.00267960015879	0.01190402547954
390.7	50	208.48	0.0047966	11.843	15.691	59.787	33.794	51.707	783.45	0.063741	27.055	0.088726	0.00266914157399	0.01195701497568
392.35	50	207.57	0.0048177	11.912	15.776	60.004	33.87	51.719	782.67	0.06449	26.995	0.088725	0.00265871164903	0.01200916915596
394	50	206.66	0.0048388	11.98	15.861	60.222	33.945	51.731	781.91	0.065184	26.936	0.088729	0.00264843467271	0.01206160497034
395.65	50	205.76	0.00486	12.048	15.947	60.438	34.022	51.743	781.18	0.065825	26.879	0.088736	0.00263784456714	0.01211235474433
397.3	50	204.87	0.0048812	12.117	16.032	60.653	34.098	51.757	780.47	0.066414	26.823	0.088748	0.00262754210122	0.0121632432769
398.95	50	203.99	0.0049023	12.185	16.118	60.868	34.176	51.771	779.78	0.066952	26.769	0.088764	0.00261701436367	0.01221271607649
400.6	50	203.11	0.0049235	12.254	16.203	61.081	34.253	51.786	779.12	0.067439	26.716	0.088784	0.00260667604323	0.01226235092444
402.25	50	202.24	0.0049447	12.322	16.289	61.294	34.331	51.801	778.48	0.067877	26.664	0.088808	0.00259619809454	0.01231089746588
403.9	50	201.38	0.0049659	12.391	16.374	61.506	34.409	51.817	777.86	0.068267	26.613	0.088836	0.00258579174425	0.01235893360438
405.55	50	200.52	0.004987	12.459	16.46	61.718	34.488	51.834	777.26	0.068609	26.563	0.088867	0.0025754344017	0.01240670289054
407.2	50	199.67	0.0050082	12.528	16.545	61.928	34.567	51.852	776.69	0.068905	26.515	0.088903	0.00256508807458	0.01245361907527
408.85	50	198.83	0.0050294	12.596	16.631	62.138	34.647	51.87	776.13	0.069155	26.468	0.088942	0.00255463411486	0.01249970484198
410.5	50	197.99	0.0050506	12.665	16.716	62.347	34.727	51.889	775.6	0.069361	26.422	0.088985	0.00254428048672	0.01254553474586
412.15	50	197.17	0.0050718	12.734	16.802	62.555	34.807	51.909	775.09	0.069523	26.377	0.089031	0.00253393073553	0.01259015176569
413.8	50	196.35	0.005093	12.802	16.888	62.762	34.888	51.929	774.59	0.069642	26.333	0.089082	0.00252353642973	0.01263453341454
415.45	50	195.53	0.0051143	12.871	16.973	62.969	34.969	51.95	774.12	0.06972	26.291	0.089135	0.00251321618707	0.01267863101117
417.1	50	194.72	0.0051355	12.94	17.059	63.175	35.05	51.972	773.66	0.069757	26.249	0.089192	0.00250301920003	0.01272244434655
418.75	50	193.92	0.0051567	13.008	17.145	63.38	35.131	51.995	773.22	0.069754	26.209	0.089253	0.00249288719104	0.01276563168982
420.4	50	193.13	0.0051779	13.077	17.231	63.585	35.213	52.018	772.81	0.069712	26.169	0.089317	0.00248258027963	0.01280723613248
422.05	50	192.34	0.0051991	13.146	17.316	63.789	35.296	52.042	772.4	0.069631	26.131	0.089385	0.00247235708216	0.01284914842045
423.7	50	191.56	0.0052203	13.215	17.402	63.992	35.378	52.066	772.02	0.069514	26.093	0.089455	0.00246217661849	0.01289018069597
425.35	50	190.78	0.0052415	13.284	17.488	64.194	35.461	52.092	771.65	0.069361	26.057	0.089529	0.00245214377053	0.01293142805279
427	50	190.02	0.0052627	13.353	17.574	64.396	35.544	52.118	771.31	0.069172	26.022	0.089606	0.00244197965897	0.01297072356177
428.65	50	189.25	0.0052839	13.422	17.66	64.597	35.628	52.144	770.97	0.068948	25.987	0.089687	0.00243186393528	0.01301074164356
430.3	50	188.5	0.0053051	13.491	17.746	64.797	35.712	52.172	770.66	0.068691	25.953	0.08977	0.00242181036422	0.01304927314703
431.95	50	187.75	0.0053263	13.56	17.832	64.997	35.796	52.2	770.36	0.068402	25.921	0.089857	0.00241181588365	0.01308785904166
433.6	50	187	0.0053475	13.629	17.919	65.196	35.88	52.228	770.07	0.06808	25.889	0.089946	0.00240187980794	0.01312650006789
435.25	50	186.26	0.0053687	13.698	18.005	65.395	35.965	52.258	769.8	0.067727	25.858	0.090039	0.0023919921053	0.0131642859637
436.9	50	185.53	0.0053899	13.768	18.091	65.592	36.05	52.288	769.55	0.067343	25.828	0.090134	0.00238206646829	0.01320106385687
438.55	50	184.81	0.0054111	13.837	18.177	65.789	36.135	52.318	769.31	0.066931	25.799	0.090233	0.00237213347837	0.01323716102749
440.2	50	184.09	0.0054322	13.906	18.264	65.986	36.22	52.35	769.08	0.066489	25.77	0.090334	0.00236247004169	0.01327379197173
441.85	50	183.37	0.0054534	13.976	18.35	66.182	36.306	52.382	768.87	0.06602	25.743	0.090438	0.0023527034417	0.0133097395255
443.5	50	182.66	0.0054746	14.045	18.436	66.377	36.391	52.414	768.67	0.065523	25.716	0.090545	0.00234303310157	0.01334535091656
445.15	50	181.96	0.0054957	14.115	18.523	66.572	36.478	52.447	768.49	0.065	25.69	0.090655	0.00233322871067	0.01337941925657
446.8	50	181.26	0.0055169	14.184	18.61	66.766	36.564	52.481	768.32	0.064451	25.665	0.090768	0.00232365721722	0.01341411882331
448.45	50	180.57	0.0055381	14.254	18.696	66.96	36.65	52.516	768.16	0.063878	25.64	0.090883	0.0023141695469	0.01344834015514
450.1	50	179.88	0.0055592	14.324	18.783	67.152	36.737	52.551	768.01	0.06328	25.617	0.091001	0.00230465044037	0.0134821969718
451.75	50	179.2	0.0055803	14.393	18.87	67.345	36.824	52.587	767.88	0.062659	25.594	0.091121	0.00229518374207	0.01351520744592
453.4	50	178.52	0.0056015	14.463	18.956	67.537	36.911	52.623	767.76	0.062015	25.572	0.091244	0.00228574774352	0.01354821095128
455.05	50	177.85	0.0056226	14.533	19.043	67.728	36.999	52.66	767.65	0.061349	25.55	0.09137	0.00227630972599	0.01358033522681
456.7	50	177.19	0.0056437	14.603	19.13	67.918	37.086	52.697	767.56	0.060661	25.529	0.091498	0.00226693164063	0.0136116891131
458.35	50	176.53	0.0056648	14.673	19.217	68.109	37.174	52.735	767.47	0.059953	25.509	0.091629	0.00225762351207	0.01364326511073
460	50	175.87	0.0056859	14.743	19.304	68.298	37.262	52.774	767.4	0.059224	25.49	0.091762	0.00224842880222	0.01367472174195
461.65	50	175.22	0.005707	14.814	19.391	68.487	37.35	52.813	767.34	0.058476	25.471	0.091898	0.00223921852981	0.01370537365213
463.3	50	174.58	0.0057281	14.884	19.478	68.676	37.438	52.853	767.29	0.057709	25.453	0.092036	0.00223008571248	0.01373546725991
464.95	50	173.94	0.0057491	14.954	19.566	68.864	37.527	52.894	767.25	0.056924	25.435	0.092177	0.00222101073411	0.01376541483065
466.6	50	173.3	0.0057702	15.025	19.653	69.051	37.615	52.935	767.22	0.056122	25.418	0.092319	0.00221206471529	0.01379569097073
468.25	50	172.67	0.0057913	15.095	19.74	69.238	37.704	52.976	767.2	0.055302	25.402	0.092464	0.00220299940774	0.01382476186862
469.9	50	172.05	0.0058123	15.166	19.828	69.424	37.793	53.018	767.19	0.054466	25.387	0.092612	0.00219402791727	0.01385324227895
471.55	50	171.43	0.0058333	15.236	19.915	69.61	37.882	53.061	767.19	0.053613	25.371	0.092762	0.00218519393608	0.01388192964272
473.2	50	170.81	0.0058544	15.307	20.003	69.796	37.972	53.104	767.2	0.052746	25.357	0.092913	0.00217628495958	0.01391019703906
474.85	50	170.2	0.0058754	15.378	20.091	69.981	38.061	53.148	767.22	0.051864	25.343	0.093068	0.00216756781816	0.01393822095517
476.5	50	169.6	0.0058964	15.449	20.178	70.165	38.15	53.192	767.25	0.050967	25.33	0.093224	0.00215883005748	0.01396536000225
478.15	50	168.99	0.0059174	15.52	20.266	70.349	38.24	53.237	767.29	0.050056	25.317	0.093382	0.00215019067288	0.01399315382829
479.8	50	168.4	0.0059384	15.591	20.354	70.533	38.33	53.282	767.33	0.049133	25.305	0.093543	0.00214149440448	0.01401958815584
481.45	50	167.8	0.0059594	15.662	20.442	70.716	38.42	53.328	767.39	0.048196	25.293	0.093706	0.00213296731151	0.01404668062909
483.1	50	167.21	0.0059803	15.733	20.53	70.898	38.51	53.374	767.46	0.047248	25.282	0.09387	0.00212443577004	0.01407286388607
484.75	50	166.63	0.0060013	15.804	20.618	71.08	38.6	53.421	767.53	0.046287	25.271	0.094037	0.00211598259584	0.01409875603074
486.4	50	166.05	0.0060222	15.876	20.706	71.262	38.69	53.468	767.61	0.045315	25.261	0.094206	0.00210758703919	0.01412456501537
488.05	50	165.48	0.0060432	15.947	20.795	71.443	38.781	53.516	767.7	0.044332	25.252	0.094377	0.00209914273052	0.01414933561986
