Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
295	60	294.91	0.0033909	7.565	10.829	43.647	30.767	50.629	986.23	-0.22983	37.673	0.10818	0.0026646590471	0.00573678112427
296.65	60	293.62	0.0034058	7.6342	10.913	43.929	30.799	50.635	982.79	-0.22647	37.445	0.10774	0.00266356545447	0.00579705080497
298.3	60	292.33	0.0034208	7.7033	10.996	44.21	30.832	50.64	979.41	-0.22313	37.222	0.10731	0.00266219053653	0.00585719314229
299.95	60	291.05	0.0034358	7.7724	11.08	44.489	30.867	50.645	976.08	-0.21982	37.003	0.10689	0.0026605363306	0.00591702932518
301.6	60	289.77	0.003451	7.8414	11.163	44.767	30.902	50.651	972.8	-0.21654	36.789	0.10648	0.00265888387187	0.00597724271254
303.25	60	288.51	0.0034661	7.9104	11.247	45.043	30.939	50.657	969.58	-0.21328	36.578	0.10608	0.00265691409512	0.00603677551326
304.9	60	287.24	0.0034813	7.9793	11.33	45.318	30.976	50.663	966.41	-0.21006	36.372	0.10569	0.00265493418955	0.00609674202434
306.55	60	285.99	0.0034966	8.0482	11.414	45.592	31.015	50.669	963.28	-0.20687	36.169	0.10531	0.00265261159115	0.00615622682786
308.2	60	284.74	0.003512	8.1171	11.498	45.864	31.054	50.675	960.21	-0.20371	35.971	0.10494	0.00265020308359	0.00621577490653
309.85	60	283.5	0.0035273	8.1859	11.581	46.134	31.095	50.682	957.19	-0.20058	35.776	0.10457	0.00264763697189	0.00627500122045
311.5	60	282.26	0.0035428	8.2547	11.665	46.404	31.136	50.689	954.22	-0.19748	35.585	0.10422	0.00264497239044	0.00633438619395
313.15	60	281.04	0.0035583	8.3234	11.748	46.671	31.179	50.696	951.3	-0.19442	35.398	0.10388	0.00264196920475	0.00639305413312
314.8	60	279.81	0.0035738	8.3921	11.832	46.938	31.222	50.703	948.43	-0.19139	35.214	0.10354	0.00263898685239	0.00645207103278
316.45	60	278.6	0.0035894	8.4608	11.916	47.203	31.266	50.71	945.6	-0.1884	35.034	0.10322	0.0026357636744	0.00651066347265
318.1	60	277.39	0.003605	8.5294	11.999	47.467	31.311	50.718	942.83	-0.18544	34.857	0.1029	0.00263246768492	0.00656912604172
319.75	60	276.19	0.0036207	8.598	12.083	47.729	31.357	50.726	940.1	-0.18252	34.684	0.10259	0.00262897585464	0.00662735227432
321.4	60	275	0.0036364	8.6666	12.167	47.99	31.404	50.734	937.42	-0.17964	34.514	0.10229	0.00262529547319	0.00668517856493
323.05	60	273.81	0.0036522	8.7351	12.251	48.25	31.452	50.743	934.78	-0.1768	34.347	0.10199	0.00262155884788	0.00674310222649
324.7	60	272.63	0.003668	8.8036	12.334	48.508	31.5	50.751	932.19	-0.17399	34.183	0.10171	0.00261764724336	0.00680066727179
326.35	60	271.45	0.0036839	8.8721	12.418	48.766	31.55	50.76	929.65	-0.17122	34.023	0.10143	0.00261354031285	0.0068579364538
328	60	270.29	0.0036998	8.9405	12.502	49.022	31.6	50.77	927.15	-0.16849	33.865	0.10116	0.00260942354428	0.00691496676646
329.65	60	269.12	0.0037157	9.0089	12.586	49.277	31.651	50.779	924.69	-0.16581	33.711	0.1009	0.00260514345811	0.00697201659138
331.3	60	267.97	0.0037317	9.0773	12.669	49.53	31.703	50.789	922.28	-0.16316	33.559	0.10065	0.00260067851347	0.00702841736717
332.95	60	266.83	0.0037478	9.1457	12.753	49.782	31.756	50.799	919.91	-0.16055	33.41	0.10041	0.00259601086025	0.00708441564942
334.6	60	265.69	0.0037638	9.2141	12.837	50.034	31.809	50.81	917.59	-0.15798	33.265	0.10017	0.00259143202931	0.00714046716007
336.25	60	264.55	0.00378	9.2824	12.921	50.284	31.864	50.82	915.3	-0.15546	33.122	0.099938	0.00258648914084	0.00719614120662
337.9	60	263.43	0.0037961	9.3507	13.005	50.532	31.919	50.831	913.06	-0.15297	32.981	0.099715	0.00258153539616	0.00725129394505
339.55	60	262.31	0.0038123	9.419	13.089	50.78	31.975	50.843	910.86	-0.15053	32.844	0.099499	0.00257651872144	0.00730638421486
341.2	60	261.2	0.0038285	9.4873	13.173	51.026	32.031	50.855	908.7	-0.14813	32.709	0.099291	0.00257143827426	0.00736120534001
342.85	60	260.09	0.0038448	9.5556	13.256	51.272	32.088	50.867	906.58	-0.14578	32.576	0.099089	0.00256620041877	0.00741579222777
344.5	60	258.99	0.0038611	9.6238	13.34	51.516	32.147	50.879	904.5	-0.14346	32.446	0.098894	0.0025606807894	0.00746961088464
346.15	60	257.9	0.0038774	9.6921	13.424	51.759	32.205	50.892	902.46	-0.14119	32.319	0.098706	0.00255529658226	0.00752348309722
347.8	60	256.82	0.0038938	9.7603	13.508	52.001	32.265	50.905	900.46	-0.13896	32.194	0.098525	0.00254959619376	0.00757654278003
349.45	60	255.74	0.0039102	9.8285	13.592	52.242	32.325	50.919	898.5	-0.13677	32.071	0.098351	0.00254397112143	0.00762968325483
351.1	60	254.67	0.0039266	9.8967	13.676	52.482	32.386	50.933	896.57	-0.13463	31.951	0.098183	0.00253819791709	0.00768237940525
352.75	60	253.61	0.0039431	9.9649	13.76	52.721	32.447	50.948	894.69	-0.13252	31.833	0.098021	0.00253238794574	0.00773465684908
354.4	60	252.55	0.0039596	10.033	13.844	52.959	32.51	50.962	892.83	-0.13046	31.717	0.097866	0.0025263063403	0.00778654095164
356.05	60	251.5	0.0039761	10.101	13.929	53.196	32.573	50.978	891.02	-0.12845	31.604	0.097717	0.00252031227008	0.00783812417506
357.7	60	250.46	0.0039926	10.17	14.013	53.431	32.636	50.993	889.24	-0.12647	31.492	0.097574	0.00251418158585	0.00788927840666
359.35	60	249.43	0.0040092	10.238	14.097	53.666	32.7	51.009	887.49	-0.12454	31.383	0.097438	0.00250796147622	0.00794005359091
361	60	248.4	0.0040258	10.306	14.181	53.9	32.765	51.026	885.78	-0.12266	31.276	0.097307	0.00250170506183	0.00799057478779
362.65	60	247.38	0.0040424	10.374	14.265	54.132	32.83	51.043	884.11	-0.12081	31.171	0.097182	0.00249537509777	0.00804059371532
364.3	60	246.36	0.0040591	10.442	14.349	54.364	32.896	51.06	882.47	-0.11901	31.068	0.097063	0.00248891241403	0.00809035579993
365.95	60	245.35	0.0040758	10.511	14.434	54.595	32.963	51.078	880.86	-0.11725	30.967	0.09695	0.00248239012446	0.0081396796505
367.6	60	244.35	0.0040925	10.579	14.518	54.825	33.03	51.096	879.28	-0.11553	30.868	0.096842	0.00247582089093	0.00818863656614
369.25	60	243.36	0.0041092	10.647	14.602	55.054	33.098	51.115	877.74	-0.11385	30.77	0.09674	0.00246916255995	0.00823693494981
370.9	60	242.37	0.004126	10.715	14.687	55.282	33.166	51.134	876.23	-0.11222	30.675	0.096643	0.00246247678036	0.00828517281035
372.55	60	241.39	0.0041427	10.783	14.771	55.509	33.235	51.153	874.75	-0.11062	30.582	0.096552	0.00245566647946	0.00833274801786
374.2	60	240.41	0.0041595	10.852	14.856	55.735	33.305	51.173	873.3	-0.10907	30.49	0.096466	0.00244881529481	0.0083801538399
375.85	60	239.44	0.0041763	10.92	14.94	55.96	33.375	51.194	871.88	-0.10756	30.4	0.096386	0.00244200690382	0.00842728448388
377.5	60	238.48	0.0041932	10.988	15.024	56.184	33.445	51.215	870.49	-0.10609	30.312	0.09631	0.00243511897755	0.00847396061046
379.15	60	237.53	0.00421	11.057	15.109	56.408	33.516	51.236	869.14	-0.10466	30.225	0.09624	0.002428076377	0.00851971547101
380.8	60	236.58	0.0042269	11.125	15.194	56.63	33.588	51.258	867.81	-0.10326	30.141	0.096175	0.00242102028187	0.00856544999763
382.45	60	235.64	0.0042438	11.193	15.278	56.852	33.66	51.281	866.51	-0.10191	30.058	0.096114	0.00241400467603	0.00861085352365
384.1	60	234.7	0.0042607	11.262	15.363	57.073	33.732	51.304	865.23	-0.1006	29.976	0.096059	0.00240701577552	0.00865631211533
385.75	60	233.77	0.0042777	11.33	15.447	57.293	33.805	51.327	863.99	-0.099328	29.896	0.096008	0.00239981405355	0.00870079090877
