Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
3.0015000000e+02 5.0000000000e+01 -1.3761119909e+02 2.2800299370e-01 5.0249459414e+04 1.2516156951e+01 2.5266442672e+09 1.2595394218e+06 -6.8875549182e+06 9.9110749808e+03 -4.9923804461e+02 1.4886627662e-01 6.9022073536e+04 1.3445012107e+02 2.7143046551e+02 6.7608017023e-02 3.0383919849e-03 1.6947323929e-03 7.8569819813e-03 8.5497726083e-03 3.5782949699e+01 5.1114763131e+01 7.1770268163e+00 3.0270690988e+01 3.3485223910e+01 -1.0178415471e-01 5.9053776517e-01 8.8982547399e+02 9.0731213537e+02
3.1015000000e+02 5.0000000000e+01 -1.0869842416e+02 2.4095475059e-01 5.1807972241e+04 1.3988498452e+01 2.6859467625e+09 1.4522659800e+06 -5.6011407301e+06 1.1093125274e+04 -4.8154131229e+02 1.4968213584e-01 5.2675214531e+04 1.3225902057e+02 2.6326516114e+02 7.1083351457e-02 3.0599923452e-03 1.6932030320e-03 8.4778393597e-03 9.2504246536e-03 3.6172544410e+01 5.1392828450e+01 6.7507348915e+00 3.0518867991e+01 3.2900075065e+01 -6.0403591254e-02 6.2443710947e-01 8.6861587545e+02 8.7832690315e+02
3.2015000000e+02 5.0000000000e+01 -8.0279165559e+01 2.2113298182e-01 5.3402212243e+04 1.3414072886e+01 2.8538928767e+09 1.4351333445e+06 -4.2543985490e+06 1.0842024189e+04 -4.6459521160e+02 1.3473567694e-01 3.7634178048e+04 1.1350258316e+02 2.5540578915e+02 6.4155242402e-02 3.0051041326e-03 1.4771414513e-03 8.8821989026e-03 8.5925111960e-03 3.6587870373e+01 5.1226446690e+01 5.5972959557e+00 3.0781202993e+01 2.8118147812e+01 -4.6490851643e-02 5.8133834958e-01 8.5650264014e+02 7.5242084504e+02
3.3015000000e+02 5.0000000000e+01 -5.2291103170e+01 2.3658220963e-01 5.5032732856e+04 1.4810707526e+01 3.0309852196e+09 1.6340183350e+06 -2.8417983051e+06 1.2332836831e+04 -4.4834140531e+02 1.3970365809e-01 2.3790024770e+04 1.1341898723e+02 2.4783857629e+02 6.6699661758e-02 3.0136901397e-03 1.5058277816e-03 9.5017974324e-03 9.2029519897e-03 3.7027134726e+01 5.1510947275e+01 5.4644526092e+00 3.1083937914e+01 2.7858770499e+01 -6.3210293904e-03 6.2496746630e-01 8.3886952100e+02 7.3102640737e+02
3.4015000000e+02 5.0000000000e+01 -2.4730076809e+01 2.2414659846e-01 5.6704086459e+04 1.4695213278e+01 3.2180037558e+09 1.6692901422e+06 -1.3637842931e+06 1.2398788690e+04 -4.3280849504e+02 1.2908398847e-01 1.1049396724e+04 1.0045651484e+02 2.4053353139e+02 6.2335746239e-02 2.9539261762e-03 1.3621747887e-03 9.9525111508e-03 8.8595695552e-03 3.7488468248e+01 5.1322422730e+01 4.7818027857e+00 3.1432531195e+01 2.4569831015e+01 6.2091666868e-03 6.0188093726e-01 8.2586630419e+02 6.4623443688e+02
3.5015000000e+02 5.0000000000e+01 2.0079322117e+00 2.3159178920e-01 5.8385197849e+04 1.5586683887e+01 3.4117669605e+09 1.8242527667e+06 1.5856116649e+05 1.3599478134e+04 -4.1816882531e+02 1.3018842899e-01 -4.9073843679e+02 9.6842563538e+01 2.3360774071e+02 6.2364608533e-02 2.9052745361e-03 1.3481562192e-03 1.0400676639e-02 9.1317602048e-03 3.7969973093e+01 5.1334017492e+01 4.6180731169e+00 3.1819823068e+01 2.3611441859e+01 2.3119020885e-02 6.3044844484e-01 8.1485312453e+02 6.1789741710e+02
3.6015000000e+02 5.0000000000e+01 2.8478158300e+01 2.2750371050e-01 6.0105708792e+04 1.5827324185e+01 3.6159745860e+09 1.9061999347e+06 1.7565718301e+06 1.4141872546e+04 -4.0408048257e+02 1.2481065991e-01 -1.1150997125e+04 8.8886215124e+01 2.2692077732e+02 5.9753869960e-02 2.8963417503e-03 1.2701010206e-03 1.0969171923e-02 9.0134736352e-03 3.8469762099e+01 5.1694840248e+01 4.2916099306e+00 3.2223049783e+01 2.1800534491e+01 5.8966165826e-02 6.2276501519e-01 8.0281637962e+02 5.6346936648e+02
3.7015000000e+02 5.0000000000e+01 5.4457441042e+01 2.2980587706e-01 6.1847343863e+04 1.6407752774e+01 3.8286338650e+09 2.0331305880e+06 3.4151876836e+06 1.5100382806e+04 -3.9063510575e+02 1.2303337100e-01 -2.0919113906e+04 8.3783159322e+01 2.2053063734e+02 5.8505538811e-02 2.7994122772e-03 1.2326598389e-03 1.1199836468e-02 9.0910976747e-03 3.8985990108e+01 5.1474844577e+01 4.1449802416e+00 3.2633936504e+01 2.0674671705e+01 5.1161704357e-02 6.4218926590e-01 7.9913928893e+02 5.4117507889e+02
3.8015000000e+02 5.0000000000e+01 7.9313187706e+01 2.2192949338e-01 6.3560684020e+04 1.6283943089e+01 4.0437269163e+09 2.0735987428e+06 5.0900658001e+06 1.5373453405e+04 -3.7810963693e+02 1.1654906239e-01 -2.9641405711e+04 7.5596220212e+01 2.1458601918e+02 5.4975911254e-02 2.6770708693e-03 1.1452779599e-03 1.1290038312e-02 8.7849848303e-03 3.9516878020e+01 5.1102644324e+01 3.8637997376e+00 3.3062132376e+01 1.8816516921e+01 2.5877180355e-02 6.3557982949e-01 7.9874441979e+02 5.0445892607e+02
3.9015000000e+02 5.0000000000e+01 1.0347112126e+02 2.2587032669e-01 6.5272481548e+04 1.7009623113e+01 4.2646327133e+09 2.2259669794e+06 6.8061692039e+06 1.6483157279e+04 -3.6627087949e+02 1.1525227353e-01 -3.7546807151e+04 7.1855366019e+01 2.0895841305e+02 5.4453328080e-02 2.6515532567e-03 1.1236598961e-03 1.1763091914e-02 8.9446344778e-03 4.0060730405e+01 5.1424818855e+01 3.8285630092e+00 3.3521978732e+01 1.8103270796e+01 5.1511183008e-02 6.5166412347e-01 7.9000690325e+02 4.8175049871e+02
4.0015000000e+02 5.0000000000e+01 1.2750426809e+02 2.2648364039e-01 6.7024247988e+04 1.7552819546e+01 4.4968037613e+09 2.3577585710e+06 8.6021217589e+06 1.7374469499e+04 -3.5484455031e+02 1.1228694290e-01 -4.4887833983e+04 6.7440999392e+01 2.0349701145e+02 5.3293344235e-02 2.6372827773e-03 1.0869742374e-03 1.2298427663e-02 8.9979046239e-03 4.0615947596e+01 5.1849003104e+01 3.7640988788e+00 3.4008809751e+01 1.7201426719e+01 8.4094190787e-02 6.5657694668e-01 7.8049598928e+02 4.5307547186e+02
4.1015000000e+02 5.0000000000e+01 1.5115369794e+02 2.2769516955e-01 6.8794845611e+04 1.8092400401e+01 4.7376386023e+09 2.4946314797e+06 1.0457711928e+07 1.8343359413e+04 -3.4393745920e+02 1.0997263903e-01 -5.1633389041e+04 6.3387550856e+01 1.9825953586e+02 5.2140402005e-02 2.5705481302e-03 1.0556636583e-03 1.2598149522e-02 9.0487845290e-03 4.1181033148e+01 5.1920886653e+01 3.7308316496e+00 3.4513871110e+01 1.6364821450e+01 8.4640282875e-02 6.6983968100e-01 7.7607517568e+02 4.3419632616e+02
